horse_name,evaluation,venue,race_name,horse_heads,horse_number,popularity,jockey,jockey_winning_percentage,distance,horse_weight,horse_weight_diff,winning_percentage,order
モルトベーネ,2.83,4阪神8,シリウスS(G3),16,3,4,Ｍ．デム,49.641577,2000,468,+4,44.827586,0
モルトベーネ,2.83,2阪神7,アンタレスS(G3),16,10,3,Ｍ．デム,49.641577,1800,464,-6,44.827586,1
モルトベーネ,2.83,名古屋,名古屋大賞典(G3),9,1,1,Ｍ．デム,49.641577,1900,470,-6,44.827586,0
モルトベーネ,2.83,1中京4,東海テレビ杯東海S(G2),16,4,12,秋山真一,24.774096,1800,468,+2,44.827586,1
モルトベーネ,2.83,5京都2,みやこS(G3),16,8,11,小牧太,27.158160,1800,466,0,44.827586,0
モルフェオルフェ,0.00,2中山7,フラワーC(G3),13,8,7,吉田隼人,26.300743,1800,422,-8,42.857143,0
モンスターキング,2.25,3中山5,ニュージーランドT(G2),16,6,13,石川裕紀,20.585366,1600,464,+4,28.571429,0
モンスターキング,2.25,2中京3,中スポ賞ファルコンS(G3),18,7,10,蛯名正義,31.335283,1400,460,+6,28.571429,0
モンドインテロ,4.07,1京都5,日経新春杯(G2),12,3,3,ルメール,55.386351,2400,492,+12,47.619048,0
モンドインテロ,4.07,5阪神1,チャレンジC(G3),12,5,3,ルメール,55.386351,2000,480,-2,47.619048,0
モンドインテロ,4.07,4中山7,産経賞オールカマー(G2),17,14,2,田辺裕信,34.758364,2200,482,-10,47.619048,0
モンドインテロ,4.07,2東京12,目黒記念(G2),18,1,3,内田博幸,31.973268,2500,474,-2,47.619048,0
モンドインテロ,4.07,2阪神4,大阪杯(G1),14,10,11,内田博幸,31.973268,2000,476,-4,47.619048,0
モンドインテロ,4.07,1京都5,日経新春杯(G2),14,8,4,シュミノ,27.659574,2400,480,-6,47.619048,1
モンドインテロ,4.07,5中山1,ステイヤーズS(G2),13,8,2,ルメール,55.386351,3600,486,+2,47.619048,1
モンドインテロ,4.07,5東京2,アルゼンチン共和国杯(G2),15,1,1,ルメール,55.386351,2500,484,+4,47.619048,0
モンドインテロ,4.07,2東京12,目黒記念(G2),18,5,4,ボウマン,32.558140,2500,478,0,47.619048,0
モンドインテロ,4.07,1東京7,ダイヤモンドS(G3),16,11,3,池添謙一,29.917250,3400,482,+4,47.619048,0
モンドキャンノ,3.98,4中山9,スプリンターズS(G1),16,11,11,池添謙一,29.917250,1200,474,+2,44.444444,0
モンドキャンノ,3.98,2札幌4,キーンランドC(G3),13,9,1,戸崎圭太,44.275057,1200,472,0,44.444444,0
モンドキャンノ,3.98,2東京6,NHKマイルC(G1),18,1,3,ルメール,55.386351,1600,472,-2,44.444444,0
モンドキャンノ,3.98,2中山7,フジTVスプリングS(G2),11,6,4,大野拓弥,24.953875,1800,474,+2,44.444444,0
モンドキャンノ,3.98,5阪神6,朝日フューチュリティ(G1),18,10,7,バルザロ,33.018868,1600,472,0,44.444444,1
モンドキャンノ,3.98,5東京1,京王杯2歳S(G2),13,13,3,ルメール,55.386351,1400,472,+4,44.444444,1
モンドキャンノ,3.98,2函館6,函館2歳S(G3),16,6,1,戸崎圭太,44.275057,1200,468,-4,44.444444,1
モンドクラッセ,3.00,1東京2,根岸S(G3),13,9,10,柴田大知,22.791448,1400,532,+4,40.000000,0
モンドクラッセ,3.00,5中山4,カペラS(G3),16,5,16,柴田大知,22.791448,1200,528,+2,40.000000,0
モンドクラッセ,3.00,5京都2,みやこS(G3),15,8,13,松山弘平,27.070347,1800,526,-8,40.000000,0
モンドクラッセ,3.00,浦和,テレ玉杯オーバルスプ(G3),12,10,4,柴田大知,22.791448,1400,534,+14,40.000000,0
モンドクラッセ,3.00,1札幌6,エルムS(G3),14,10,3,勝浦正樹,24.401368,1700,520,-12,40.000000,0
モンドクラッセ,3.00,2阪神7,アンタレスS(G3),16,7,5,岩田康誠,37.735110,1800,532,0,40.000000,0
モンドクラッセ,3.00,1東京2,根岸S(G3),16,7,11,丸山元気,22.775564,1400,532,+2,40.000000,0
モンドクラッセ,3.00,4中京2,チャンピオンズC(G1),15,6,12,丸山元気,22.775564,1800,530,-2,40.000000,0
モンドクラッセ,3.00,5京都2,みやこS(G3),16,3,5,岩田康誠,37.735110,1800,532,+15,40.000000,0
