日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
2016/02/11,大井,晴,5,C3三　四五, ,14,8,13,12.0,5,3,笹川翼,56,ダ1200,良,**,1:15.0,0.4,**,9-10,36.1-38.5,37.3,466(-6), , ,オーサムリヴァイヴ,14.4
2016/01/14,大井,晴,5,C3四　五, ,16,8,15,7.4,3,7,笹川翼,56,ダ1200,良,**,1:15.3,0.9,**,5-5,35.9-38.5,38.9,472(+2), , ,サブノマサムネ, 
2015/12/29,大井,晴,3,3歳　155万, ,14,3,4,3.9,2,2,笹川翼,56,ダ1200,良,**,1:16.3,0.0,**,7-7,35.8-40.5,39.9,470(+20), , ,ハクシンナデシコ,30.0
2015/08/08,2新潟3,晴,6,3歳未勝利,,15,5,8,38.2,11,12,石川裕紀,53,ダ1200,良,**,1:15.0,1.8,**,2-3,35.2-38.0,39.6,450(+2),, ,ヒカリピオニー, 
2015/05/31,2東京12,晴,2,3歳未勝利,,15,5,9,11.0,5,9,北村宏司,56,ダ1300,良,**,1:22.2,1.8,**,13-13,29.8-37.9,37.7,448(-10),, ,ラミアカーサ, 
2015/03/28,3中山1,晴,2,3歳未勝利,,16,2,3,8.6,6,9,石川裕紀,53,ダ1200,良,**,1:14.3,1.3,**,3-4,34.5-38.5,39.3,458(-4),, ,ワタシダイナマイト, 
2015/03/08,2中山4,小雨,2,3歳未勝利,,16,6,11,60.7,10,4,石川裕紀,53,ダ1200,重,**,1:12.9,0.7,**,1-1,33.8-38.4,39.1,462(-14),, ,ランバイワイルド,75.0
2014/12/06,4中山1,晴,3,2歳未勝利,,16,7,14,89.9,13,16,田中勝春,55,芝1800,良,**,1:52.0,2.3,**,13-14-15-16,36.1-37.0,37.2,476(+14),,,ナリノパシオン, 
2014/08/16,2新潟5,雨,2,2歳未勝利,,18,7,14,22.7,9,17,エスポジ,54,芝1600,重,**,1:38.8,2.2,**,13-13,36.1-35.2,36.4,462(-2),,,コスモナインボール, 
2014/07/12,2福島3,晴,6,2歳新馬,,15,1,1,16.9,5,5,エスポジ,54,芝1200,良,**,1:11.0,1.2,**,7-6,34.7-35.1,35.6,464(0),,,ニシノラッシュ,70.0
日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
2018/01/13,1中山4,晴,12,4歳上1000万下,,16,6,11,43.7,11,16,野中悠太,54,芝1200,良,**,1:10.3,1.7,**,3-3,33.5-35.1,36.6,468(-2),, ,ダイトウキョウ, 
2017/10/01,4中山9,晴,10,勝浦特別(1000万下),,16,7,13,7.4,3,14,三浦皇成,54,芝1200,良,**,1:08.8,1.0,**,5-5,33.4-34.4,35.1,470(0),, ,クラウンアイリス, 
2017/07/22,2福島7,曇,11,白河特別(1000万下),,12,7,10,2.7,1,6,北村宏司,54,芝1200,良,**,1:09.3,0.3,**,4-3,34.5-34.5,34.5,470(+4),, ,テンテマリ, 
2017/07/01,2福島1,曇,8,3歳上500万下,,16,2,4,3.0,1,1,北村宏司,57,芝1200,良,**,1:08.4,-0.5,**,3-3,33.8-34.6,34.4,466(+18),, ,(アプト),750.0
2017/04/08,1福島1,曇,11,吾妻小富士賞(1000万下),,16,8,16,92.8,15,4,黛弘人,54,芝1200,良,**,1:08.4,0.4,**,12-12,33.4-34.6,34.3,448(-8),, ,エリーティアラ,230.0
2017/01/14,1中山4,曇,12,4歳上1000万下,,16,5,9,14.3,8,9,野中悠太,53,芝1200,良,**,1:09.9,0.6,**,5-5,34.8-34.5,34.6,456(-2),,,イオラニ, 
2016/12/25,5中山9,晴,11,ハッピーエンドC(1000万下),,16,3,6,18.3,6,12,浜中俊,56,芝1200,良,**,1:10.3,1.0,**,5-4,34.1-35.2,35.9,458(-2),,,アルティマブラッド, 
2016/08/13,1札幌5,晴,11,STV賞(1000万下),,14,3,3,32.9,10,11,柴山雄一,54,芝1500,良,**,1:29.4,0.6,**,3-4-3,30.1-34.6,34.8,460(+8),, ,ウインムート, 
2016/07/03,2福島2,曇,11,ラジオNIKKEI賞(G3),,16,6,11,67.1,13,15,蛯名正義,53,芝1800,良,**,1:48.6,1.6,**,5-1-1-2,35.3-35.0,36.6,452(+6),,,ゼーヴィント, 
2016/05/07,2東京5,晴,11,プリンシパルS(OP),,17,7,13,91.2,14,12,田中勝春,56,芝2000,良,**,2:00.5,1.3,**,7-7-8,35.3-35.4,35.5,446(-2),,,アジュールローズ, 
2016/04/16,3中山7,曇,6,3歳500万下,,11,1,1,10.8,4,1,柴山雄一,56,芝1600,良,**,1:34.7,0.0,**,4-2-2,35.6-35.1,34.8,448(-6),, ,(オルレアンローズ),720.0
2016/03/20,2中山7,晴,6,3歳500万下,,15,7,12,16.4,6,7,柴山雄一,56,芝1600,稍,**,1:35.0,0.4,**,13-12-11,34.9-36.2,34.9,454(+2),,,カープストリーマー, 
2016/01/23,1中山7,曇,6,3歳新馬,,16,8,15,7.3,5,1,柴山雄一,56,芝1600,良,**,1:37.5,-0.1,**,9-8-4,36.6-35.4,34.6,452(0),,,(スウィートカラー),600.0
日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
2017/07/21,園田,晴,1,C3三, ,10,8,10,74.6,9,10,宮下康一,54,ダ1400,良,**,1:37.2,2.6,**,10-10-10-10, ,41.7,407(-11), , ,ウインドプレンティ, 
2017/06/30,園田,晴,1,C3二, ,9,4,4,430.4,9,9,宮下康一,54,ダ1400,不,**,1:34.1,3.0,**,9-9-9-9, ,40.8,418(+1), , ,テンザンフミスタ, 
2017/06/09,園田,晴,1,C3三, ,10,8,10,92.5,7,10,宮下康一,54,ダ1400,稍,**,1:37.5,3.6,**,4-4-6-7, ,42.6,417(+4), , ,ケージートパーズ, 
2017/05/26,園田,晴,2,C3三, ,8,5,5,165.8,8,7,高畑皓一,54,ダ1400,稍,**,1:37.5,4.1,**,5-5-7-7, ,43.5,413(-1), , ,ナオミノエガオ, 
2017/05/11,園田,晴,1,C3四, ,10,8,10,138.6,9,9,高畑皓一,54,ダ1400,良,**,1:37.7,2.1,**,4-6-9-10, ,43.6,414(-1), , ,パープレー, 
