日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
2017/08/20,2小倉8,晴,11,TV西日本北九州記念(G3),,18,5,9,5.7,3,1,武豊,53,芝1200,良,**,1:07.5,-0.1,**,2-2,32.8-34.7,34.6,476(+6),, ,(ナリタスターワン),"3,963.0"
2017/07/30,2小倉2,晴,11,佐世保S(1600万下),,16,7,13,4.9,2,1,武豊,55,芝1200,良,**,1:07.7,0.0,**,3-3,33.5-34.2,34.1,470(+4),, ,(ニシノラッシュ),"1,855.0"
2017/06/25,3阪神8,曇,9,皆生特別(1000万下),,9,4,4,1.7,1,1,武豊,54,芝1200,稍,**,1:08.9,-0.2,**,2-3,34.3-34.6,34.4,466(0),, ,(スマートグレイス),"1,521.0"
2017/06/03,3阪神1,曇,9,戎橋特別(500万下),,15,2,3,1.7,1,1,武豊,55,芝1200,良,**,1:07.7,-0.3,**,1-1,33.2-34.5,34.5,466(0),, ,(パーリオミノル),"1,081.5"
2017/05/27,3京都11,晴,9,御池特別(1000万下),,16,3,5,3.1,1,2,武豊,55,芝1200,良,**,1:08.6,0.0,**,1-1,33.4-35.2,35.2,466(+2),, ,フジノパンサー,610.2
2017/02/19,1小倉4,晴,12,紫川特別(1000万下),,18,3,5,4.3,1,8,北村友一,55,芝1200,良,**,1:08.8,0.5,**,12-12,32.6-35.7,35.1,464(+8),, ,スカイパッション, 
2017/01/28,1中京5,晴,11,中京スポーツ杯(1000万下),,18,3,6,2.5,1,7,菱田裕二,54,芝1200,良,**,1:08.5,0.7,**,2-2,33.5-34.3,34.8,456(0),, ,ニシノラディアント, 
2017/01/05,1京都1,晴,12,4歳上1000万下,,16,2,4,3.1,1,2,武豊,54,芝1200,良,**,1:08.3,0.1,**,2-3,33.9-34.3,34.1,456(-8),, ,オールインワン,420.0
2016/12/03,4中京1,晴,12,鳥羽特別(1000万下),,18,1,1,3.2,2,4,武豊,54,芝1400,良,**,1:20.0,0.2,**,7-7,33.2-35.3,34.9,464(-2),, ,エスティタート,210.0
2016/11/06,5京都2,曇,9,醍醐特別(1000万下),,18,4,8,3.7,1,2,幸英明,54,芝1200,良,**,1:08.4,0.1,**,5-3,33.5-34.8,34.3,466(-4),, ,ナリタスターワン,613.0
2016/10/22,4京都6,曇,9,壬生特別(1000万下),,13,5,7,2.0,1,3,武豊,53,芝1200,良,**,1:08.0,0.5,**,4-3,33.0-34.5,34.4,470(+16),, ,ナインテイルズ,384.4
2016/05/01,3京都4,晴,5,3歳500万下,,15,3,4,1.8,1,1,武豊,54,芝1200,良,**,1:07.9,-0.7,**,1-1,33.7-34.2,34.2,454(-6),, ,(サイタスリーレッド),720.0
2016/04/09,2阪神5,晴,6,3歳500万下,,13,6,8,2.3,1,4,武豊,54,芝1600,稍,**,1:34.3,0.3,**,1-1,35.3-34.9,35.2,460(+6),, ,ハクサンルドルフ,110.0
2016/03/13,1阪神6,曇,11,フィリーズレビュー(G2),,18,2,3,7.0,4,4,国分優作,54,芝1400,良,**,1:22.5,0.4,**,12-13,35.0-34.9,34.5,454(-4),,,ソルヴェイグ,780.0
2016/02/06,2京都3,曇,10,エルフィンS(OP),,11,3,3,19.4,7,2,菱田裕二,54,芝1600,良,**,1:36.4,0.2,**,2-2,36.3-34.1,34.2,458(-4),, ,レッドアヴァンセ,767.4
2016/01/24,1京都8,晴,6,3歳新馬,,15,6,12,11.1,6,1,国分優作,54,芝1600,良,**,1:36.2,-0.4,**,1-1,36.0-35.0,35.0,462(0),, ,(ミッキーグッドネス),600.0
日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
2018/01/06,1中山1,晴,12,4歳上1000万下,,15,4,7,175.9,14,11,嘉藤貴行,56,芝1600,良,**,1:35.5,0.9,**,10-10-12,35.9-35.7,35.7,458(+4),,,ゴールドサーベラス, 
2017/12/28,5阪神9,曇,10,フォーチュンC(1000万下),,13,4,4,133.9,12,11,杉原誠人,56,芝1600,良,**,1:35.5,1.9,**,13-13,34.5-35.3,35.1,454(+2),,,フィアーノロマーノ, 
2017/12/10,5中山4,晴,12,3歳上1000万下,,16,2,4,32.0,11,9,杉原誠人,56,芝1200,良,**,1:09.7,0.9,**,14-14,34.3-34.5,34.0,452(+12),, ,フクノグローリア, 
2017/10/28,4東京8,雨,9,国立特別(1000万下),,14,4,5,73.0,11,13,内田博幸,54,芝1400,良,**,1:23.2,0.8,**,6-8,36.1-34.1,34.2,440(+2),, ,ティソーナ, 
2017/10/21,3新潟3,曇,11,飛翼特別(1000万下),,18,7,14,12.1,6,10,杉原誠人,54,芝1000,良,**,0:55.8,0.7,**, ,32.6-33.2,32.9,438(+2),, ,ベルモントラハイナ, 
2017/09/17,4中山4,雨,10,初風特別(1000万下),,15,1,1,18.1,8,6,杉原誠人,55,芝1200,重,**,1:08.9,0.6,**,10-9,32.9-35.4,35.0,436(0),, ,ダイメイプリンセス, 
2017/08/26,2新潟9,晴,10,稲妻S(1600万下),,13,6,9,39.1,10,5,杉原誠人,54,芝1000,稍,**,0:56.4,0.3,**, ,33.2-33.9,33.4,436(0),,,アペルトゥーラ,182.0
2017/08/13,2新潟6,曇,10,豊栄特別(1000万下),,18,7,14,30.3,9,16,大野拓弥,54,芝1400,良,**,1:21.6,1.2,**,17-17,33.6-35.4,34.4,436(+4),,,ヴェネト, 
2017/05/13,3京都7,曇,10,葵S(OP),,14,6,9,21.4,11,11,川須栄彦,56,芝1200,不,**,1:12.4,1.9,**,10-11,34.9-35.6,36.0,432(+4),, ,アリンナ, 
2017/04/22,3京都1,晴,10,橘S(OP),,11,8,11,14.7,6,10,松山弘平,56,芝1400,良,**,1:22.0,0.8,**,11-10,34.3-35.3,34.7,428(-4),, ,ディバインコード, 
2017/04/08,3中山5,曇,11,ニュージーランドT(G2),,16,4,8,36.8,11,9,大野拓弥,56,芝1600,稍,**,1:36.8,0.8,**,11-7-6,36.3-35.3,35.5,432(-2),,,ジョーストリクトリ, 
2017/03/18,2中京3,曇,11,中スポ賞ファルコンS(G3),,16,6,11,70.1,12,4,大野拓弥,56,芝1400,良,**,1:21.3,0.2,**,13-13,34.0-35.3,34.4,434(+2),, ,コウソクストレート,570.0
2016/12/18,5阪神6,晴,11,朝日フューチュリティ(G1),,18,5,9,353.7,17,11,北村友一,55,芝1600,良,**,1:36.5,1.1,**,17-14,35.6-34.8,34.9,432(+2),,,サトノアレス, 
2016/11/05,5東京1,晴,11,京王杯2歳S(G2),,13,5,6,69.2,11,8,嘉藤貴行,55,芝1400,良,**,1:22.7,0.8,**,4-6,35.7-34.2,34.6,430(+8),, ,モンドキャンノ, 
2016/09/04,2小倉12,曇,11,小倉2歳S(G3),,15,2,2,32.6,10,2,嘉藤貴行,54,芝1200,良,**,1:09.0,1.0,**,8-6,33.3-34.7,35.2,422(+2),, ,レーヌミノル,"1,215.0"
2016/07/24,2福島8,曇,1,2歳未勝利,,16,3,6,2.5,1,1,内田博幸,54,芝1200,良,**,1:10.1,-0.8,**,2-2,34.4-35.7,35.6,420(0),, ,(クロースリーニット),500.0
2016/07/10,2福島4,晴,2,2歳未勝利,,10,5,5,1.8,1,2,内田博幸,54,芝1200,良,**,1:10.6,0.0,**,2-2,35.2-35.4,35.4,420(-2),, ,ハッピーランラン,200.0
2016/06/19,3東京6,曇,6,2歳新馬,,14,3,3,6.2,3,2,嘉藤貴行,54,芝1400,良,**,1:23.1,0.3,**,2-5,36.6-33.7,33.7,422(0),, ,アエロリット,280.0
日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
2017/09/30,4阪神8,晴,1,2歳未勝利,,12,6,8,34.5,6,7,北村友一,54,ダ1400,良,**,1:27.8,2.7,**,6-6,35.4-37.4,39.1,490(+6),,,ユニオンローズ, 
2017/09/02,2小倉11,晴,2,2歳未勝利,,11,4,4,215.1,10,8,小牧太,54,芝2000,良,**,2:04.8,3.6,**,10-9-7-8,35.0-35.8,38.5,484(+6),,,シャルドネゴールド, 
2017/08/05,2小倉3,晴,5,2歳新馬,,13,3,3,42.6,9,9,松若風馬,54,芝1200,良,**,1:11.9,3.2,**,11-11,33.5-35.2,35.8,478(0),,,バーニングペスカ, 
日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
2017/11/20,浦和,曇,6,C2　選抜馬, ,11,8,10,22.5,6,5,寺島憂人,56,ダ800,良,**,0:49.5,0.6,**,2-3,36.2-36.6,37.2,449(+3), , ,ブラックベリー,10.0
2017/11/08,川崎,曇,4,シャーク賞, ,11,7,9,10.1,5,4,国分祐仁,56,ダ900,良,**,0:56.9,0.5,**,1-2,29.6-38.6,38.9,446(-4), , ,バジガクミワチャン,12.6
2017/10/17,浦和,曇,7,C3　選抜馬, ,11,1,1,3.2,1,4,見越彬央,56,ダ800,不,**,0:49.9,0.8,**,4-3,35.9-36.9,37.3,450(+1), , ,アナログガール,12.0
2017/09/22,浦和,曇,6,C3　選抜馬, ,11,7,9,6.1,4,3,見越彬央,56,ダ800,良,**,0:49.9,1.1,**,4-3,36.2-36.7,37.5,449(+8), , ,ベニノハッピー,16.0
2017/09/09,川崎,晴,4,みんな大好き今日も食, ,11,7,9,9.4,5,3,国分祐仁,56,ダ900,稍,**,0:56.3,1.1,**,2-2,29.5-37.6,38.6,441(-4), , ,ギンマクデビュー,18.0
2017/08/17,浦和,曇,6,C3　選抜馬, ,11,1,1,12.9,5,2,見越彬央,56,ダ800,不,**,0:49.5,0.5,**,1-2,36.3-36.5,37.0,445(-2), , ,ニシノアウリイ,28.0
2017/07/20,浦和,晴,5,C3　選抜馬ア, ,11,7,8,99.6,8,4,見越彬央,56,ダ800,良,**,0:49.0,0.6,**,4-3,35.3-36.3,36.5,447(+7), , ,ホウショウバレン,12.0
2017/07/05,川崎,曇,5,カモメ賞, ,11,4,4,55.2,7,3,見越彬央,56,ダ900,重,**,0:57.1,1.8,**,4-3,29.6-37.6,39.0,440(+3), , ,ピュウモッソ,18.0
2017/06/23,船橋,晴,4,C3二　三　ア, ,11,3,3,54.3,8,11,国分祐仁,56,ダ1500,重,**,1:44.5,4.2,**,1-1-2-4,32.1-42.4,46.5,437(-2), , ,マイアミノキセキ, 
2017/06/02,浦和,晴,5,C3二　三, ,10,3,3,97.7,9,4,見越彬央,56,ダ1500,良,**,1:41.3,1.9,**,1-1-1-2,31.0-41.5,43.4,439(+4), , ,リュウノヘイロー,12.0
2017/05/11,大井,晴,1,C3三　四, ,11,5,5,213.3,11,10,見越彬央,56,ダ1200,良,**,1:16.0,1.3,**,2-2,35.5-39.2,40.5,435(-8), , ,サブノランマル, 
2017/04/28,浦和,晴,4,C3二　三, ,11,4,4,118.0,11,9,矢野貴之,56,ダ1500,良,**,1:40.9,1.9,**,5-4-6-6,31.6-39.8,40.9,443(+1), , ,マイネルマルキ, 
2017/04/14,船橋,晴,4,生ビールを飲んで豪華, ,11,1,1,129.7,11,11,国分祐仁,56,ダ1500,稍,**,1:44.4,5.0,**,2-3-7-11,32.3-41.6,45.9,442(-3), , ,メラニオーン, 
2017/03/28,浦和,晴,1,C3　4歳イ, ,9,2,2,16.8,7,5,藤田菜七,56,ダ1400,不,**,1:33.0,1.9,**,3-3-4-5,38.0-39.4,40.9,445(0), , ,ゴールドキャスト,8.0
2017/03/17,船橋,曇,4,C3二　三イ, ,12,7,9,196.0,10,10,国分祐仁,56,ダ1500,稍,**,1:42.4,2.1,**,4-4-3-4,32.4-41.0,42.9,445(0), , ,ラクルース, 
