name,age,evaluation,venue,race_name,heads,horsenumber,popularity,horseman,distance,course_status,horse_weight,horse_weight_ratio,winning_percentage,order
ダノンメジャー,6,3.65,1小倉4,小倉大賞典(G3),16,3,10,小牧太,1800,良,492,+4,0.310344827586,0
ダノンメジャー,6,3.65,1中山1,日刊スポ賞中山金杯(G3),13,6,5,小牧太,2000,良,488,-2,0.310344827586,0
ダノンメジャー,6,3.65,5阪神3,チャレンジC(G3),18,2,7,小牧太,1800,稍,490,-6,0.310344827586,0
ダノンメジャー,6,3.65,2東京12,東京優駿(G1),18,5,13,小牧太,2400,良,482,0,0.310344827586,0
ダノンメジャー,6,3.65,2東京6,NHKマイルC(G1),18,16,8,武豊,1600,良,482,+4,0.310344827586,0
ダノンメジャー,6,3.65,2中山8,フジTVスプリングS(G2),12,10,7,バルジュ,1800,良,478,-4,0.310344827586,0
ダノンメジャー,6,3.65,1東京6,共同通信杯(G3),12,11,5,横山典弘,1800,良,482,+2,0.310344827586,0
ダノンメジャー,6,3.65,4中山8,ホープフルS(G2),17,9,1,小牧太,2000,良,480,+2,0.310344827586,0
ダノンメジャー,6,3.65,5京都8,ラジオN杯京都2歳S(G3),8,3,2,小牧太,2000,稍,478,0,0.310344827586,1
ダノンリバティ,6,2.50,4中山2,京成杯オータムH(G3),15,13,6,松若風馬,1600,良,524,-2,0.407407407407,1
ダノンリバティ,6,2.50,2新潟6,関屋記念(G3),16,10,5,松若風馬,1600,良,526,0,0.407407407407,1
ダノンリバティ,6,2.50,3中京8,トヨタ賞中京記念(G3),16,10,3,松若風馬,1600,良,526,-4,0.407407407407,0
ダノンリバティ,6,2.50,4中山2,京成杯オータムH(G3),15,14,3,松若風馬,1600,良,518,-4,0.407407407407,0
ダノンリバティ,6,2.50,2新潟6,関屋記念(G3),18,12,7,松若風馬,1600,良,522,+2,0.407407407407,1
ダノンリバティ,6,2.50,3中京8,トヨタ賞中京記念(G3),16,11,5,武豊,1600,良,520,+10,0.407407407407,0
ダノンリバティ,6,2.50,3京都2,読売マイラーズC(G2),15,14,4,松若風馬,1600,良,510,-6,0.407407407407,0
