name,age,evaluation,venue,race_name,heads,horsenumber,popularity,horseman,distance,course_status,horse_weight,horse_weight_ratio,winning_percentage,order
アッシュゴールド,6,3.76,5京都3,デイリー杯2歳S(G2),9,9,2,池添謙一,1600,良,438,+6,0.157894736842,1
アットザシーサイド,5,3.63,2京都2,シルクロードS(G3),18,5,9,四位洋文,1200,良,446,+4,0.444444444444,0
アットザシーサイド,5,3.63,5京都8,京阪杯(G3),16,15,3,四位洋文,1200,良,440,+2,0.444444444444,0
アットザシーサイド,5,3.63,2東京8,ヴィクトリアマイル(G1),17,1,13,田辺裕信,1600,稍,438,-6,0.444444444444,0
アットザシーサイド,5,3.63,2阪神5,サンスポ杯阪神牝馬S(G2),16,11,8,福永祐一,1600,重,444,-6,0.444444444444,0
アットザシーサイド,5,3.63,2京都7,京都牝馬S(G3),18,2,2,Ｍ．デム,1400,稍,450,+14,0.444444444444,0
アットザシーサイド,5,3.63,4阪神4,関西TVローズS(G2),15,4,3,福永祐一,1800,重,442,+4,0.444444444444,0
アットザシーサイド,5,3.63,2東京10,優駿牝馬(G1),18,4,4,福永祐一,2400,良,438,+8,0.444444444444,0
アットザシーサイド,5,3.63,2阪神6,桜花賞(G1),18,10,6,福永祐一,1600,良,430,-10,0.444444444444,1
アットザシーサイド,5,3.63,1阪神6,フィリーズレビュー(G2),18,9,1,福永祐一,1400,良,440,+6,0.444444444444,1
アットザシーサイド,5,3.63,5阪神4,阪神ジュベナイルF(G1),18,9,4,三浦皇成,1600,良,434,-4,0.444444444444,0
アップアンカー,8,2.83,名古屋,名古屋グランプリ(G2),12,9,10,佐藤友則,2500,重,510,-2,0.4375,0
アップアンカー,8,2.83,名古屋,かきつばた記念(G3),10,10,8,安部幸夫,1400,良,521,+2,0.4375,0
アップアンカー,8,2.83,名古屋,名古屋大賞典(G3),12,7,8,安部幸夫,1900,良,517,0,0.4375,0
アップアンカー,8,2.83,金沢,白山大賞典(G3),12,10,10,安部幸夫,2100,良,520,+3,0.4375,0
アップクォーク,5,3.78,2福島2,ラジオNIKKEI賞(G3),16,3,3,柴山雄一,1800,良,496,-6,0.636363636364,0
アップトゥデイト,8,4.29,5中山7,中山大障害(J.G1),15,6,2,林満明,4100,良,530,+6,0.59375,1
アップトゥデイト,8,4.29,4阪神3,阪神ジャンプS(J.G3),7,5,1,林満明,3140,稍,524,-2,0.59375,1
アップトゥデイト,8,4.29,2小倉1,小倉サマージャンプ(J.G3),14,4,1,林満明,3390,良,526,-8,0.59375,1
アップトゥデイト,8,4.29,3中山7,中山グランドジャンプ(J.G1),13,6,2,林満明,4250,良,534,0,0.59375,1
アップトゥデイト,8,4.29,1阪神5,阪神スプリングJ(J.G2),11,6,2,林満明,3900,良,534,+4,0.59375,1
アップトゥデイト,8,4.29,5中山7,中山大障害(J.G1),11,12,2,林満明,4100,良,530,+2,0.59375,1
アップトゥデイト,8,4.29,4阪神3,阪神ジャンプS(J.G3),11,11,2,林満明,3140,良,528,+6,0.59375,1
アップトゥデイト,8,4.29,2新潟9,新潟ジャンプS(J.G3),14,7,1,林満明,3250,良,522,-10,0.59375,0
アップトゥデイト,8,4.29,1阪神5,阪神スプリングJ(J.G2),13,4,1,白浜雄造,3900,良,532,+4,0.59375,1
アップトゥデイト,8,4.29,5中山7,中山大障害(J.G1),14,13,2,林満明,4100,良,528,+6,0.59375,1
アップトゥデイト,8,4.29,2小倉1,小倉サマージャンプ(J.G3),8,1,2,林満明,3390,良,522,0,0.59375,1
アップトゥデイト,8,4.29,3中山7,中山グランドジャンプ(J.G1),15,12,4,林満明,4250,良,522,-4,0.59375,1
アップトゥデイト,8,4.29,1阪神5,阪神スプリングJ(J.G2),13,11,1,林満明,3900,稍,526,+4,0.59375,0
アップトゥデイト,8,4.29,川崎,全日本2歳優駿[指定(G1),14,9,1,岩田康誠,1600,良,505,+3,0.59375,1
アップトゥデイト,8,4.29,園田,兵庫ジュニアグランプ(G2),11,8,2,下原理,1400,稍,502,0,0.59375,1
アップトゥユー,4,3.50,川崎,関東オークス【指定交(G2),13,4,5,真島大輔,2100,重,465,+3,0.470588235294,0
アップトゥユー,4,3.50,門別,エーデルワイス賞〔J(G3),16,1,6,阿部龍,1200,稍,470,+10,0.470588235294,1
アップドラフト,16,0.00,3中山4,ダービー卿チャレンジ(G3),16,10,11,田中勝春,1600,良,480,-14,0.4,0
アップドラフト,16,0.00,1東京1,東京新聞杯(G3),16,8,14,吉田豊,1600,良,488,-10,0.4,0
アップドラフト,16,0.00,4京都7,毎日放送賞スワンS(G2),18,6,11,川田将雅,1400,良,498,+2,0.4,0
アップドラフト,16,0.00,4中山2,京成杯オータムH(G3),16,7,14,吉田豊,1600,良,488,-12,0.4,1
アップドラフト,16,0.00,1京都6,日経新春杯(G2),16,6,15,四位洋文,2400,良,500,-4,0.4,0
アップドラフト,16,0.00,3東京8,エプソムC(G3),18,9,15,内田博幸,1800,良,500,-6,0.4,0
アップドラフト,16,0.00,3東京4,目黒記念(G2),18,16,14,藤岡佑介,2500,良,506,+2,0.4,0
アップドラフト,16,0.00,2小倉6,小倉記念(G3),12,6,3,川田将雅,2000,良,512,-6,0.4,0
アップドラフト,16,0.00,2福島8,七夕賞(G3),16,5,7,吉田隼人,2000,良,518,+4,0.4,0
アッラサルーテ,5,3.00,2阪神6,桜花賞(G1),18,8,15,和田竜二,1600,良,456,-10,0.526315789474,0
アデイインザライフ,7,3.28,2新潟12,新潟記念(G3),18,17,2,横山典弘,2000,良,560,0,0.785714285714,1
アデイインザライフ,7,3.28,3中山8,皐月賞(G1),18,5,9,田辺裕信,2000,良,540,-4,0.785714285714,0
アデイインザライフ,7,3.28,2中山4,報知杯弥生賞(G2),13,3,2,戸崎圭太,2000,良,544,-2,0.785714285714,1
アデイインザライフ,7,3.28,1中山7,京成杯(G3),16,11,4,横山典弘,2000,良,546,0,0.785714285714,1
アテスト,15,0.00,3東京5,ユニコーンS(G3),16,5,13,北村宏司,1600,良,500,+4,0.258064516129,0
アテスト,15,0.00,川崎,全日本2歳優駿(G1),10,1,6,小林俊彦,1600,良,502,-2,0.258064516129,1
アドマイヤアロマ,7,3.00,4阪神4,関西TVローズS(G2),17,4,13,和田竜二,1800,良,444,+2,0.222222222222,0
アドマイヤイナズマ,8,2.50,盛岡,マーキュリーC(G3),14,9,12,斉藤雄一,2000,稍,504,-6,0.268292682927,0
アドマイヤイバマ,8,3.00,盛岡,マイルチャンピオンシ(G1),16,4,14,斉藤雄一,1600,稍,472,+7,0.234042553191,0
アドマイヤイバマ,8,3.00,2新潟4,レパードS(G3),15,9,14,田中勝春,1800,稍,476,+4,0.234042553191,0
アドマイヤエイカン,5,3.17,2中山4,報知杯弥生賞(G2),12,1,5,岩田康誠,2000,良,496,-6,0.444444444444,0
